Time,rsr-backend - dict objects,rsr-backend - list objects,rsr-reports - dict objects,rsr-reports - list objects
2025-08-29 02:30:00,49204.0,57779.0,46100.0,28007.0
2025-08-29 02:45:00,,,46097.0,28034.0
2025-08-29 03:00:00,48939.0,48093.0,46115.0,28040.0
2025-08-29 03:15:00,,,,
2025-08-29 03:30:00,,,46109.0,27929.0
2025-08-29 03:45:00,48299.0,38633.0,46105.0,27918.0
2025-08-29 04:00:00,,,46149.0,28040.0
2025-08-29 04:15:00,48318.0,29012.0,46097.0,27961.0
2025-08-29 04:30:00,48095.0,38499.0,46151.0,28099.0
2025-08-29 04:45:00,48828.0,29073.0,46107.0,27976.0
2025-08-29 05:00:00,,,46148.0,28000.0
2025-08-29 05:15:00,47113.0,28544.0,46109.0,28042.0
2025-08-29 05:30:00,,,,
2025-08-29 05:45:00,,,,
2025-08-29 06:00:00,,,46159.0,28049.0
2025-08-29 06:15:00,,,,
2025-08-29 06:30:00,,,46118.0,28055.0
2025-08-29 06:45:00,,,46107.0,28043.0
2025-08-29 07:00:00,,,46119.0,28051.0
2025-08-29 07:15:00,,,,
2025-08-29 07:30:00,,,,
2025-08-29 07:45:00,,,46097.0,28034.0
2025-08-29 08:00:00,,,46151.0,28120.0
2025-08-29 08:15:00,,,,
