Time,rsr-7d759f6dc9-m99vb - ,rsr-7f589d447f-zzrf5 - ,rsr-memcached-7fbb8d49f7-z6jwq - ,rsr-7d759f6dc9-m99vb - .1,rsr-7f589d447f-zzrf5 - .1,rsr-memcached-7fbb8d49f7-z6jwq - .1
2025-08-29 20:30:00,-52699.442791053625,,-1331.8475248114923,-52699.442791053625,,-1331.8475248114923
2025-08-29 20:45:00,-50446.98238155077,,-1652.792277766178,-50446.98238155077,,-1652.792277766178
2025-08-29 21:00:00,-47559.64679934985,,-1524.033656790999,-47559.64679934985,,-1524.033656790999
2025-08-29 21:15:00,-49361.47442239388,,-1593.1081497911032,-49361.47442239388,,-1593.1081497911032
2025-08-29 21:30:00,-37690.02993645485,,-1375.081743379685,-37690.02993645485,,-1375.081743379685
2025-08-29 21:45:00,-53188.34749008867,,-1335.8821684496984,-53188.34749008867,,-1335.8821684496984
2025-08-29 22:00:00,-51563.10888951893,,-1521.8484402450024,-51563.10888951893,,-1521.8484402450024
2025-08-29 22:15:00,-82079.40119632277,,-2119.487888715191,-82079.40119632277,,-2119.487888715191
2025-08-29 22:30:00,-40494.64618608162,,-1493.7072080639027,-40494.64618608162,,-1493.7072080639027
2025-08-29 22:45:00,-66693.42506470183,,-1923.9812926250315,-66693.42506470183,,-1923.9812926250315
2025-08-29 23:00:00,-66617.0986309543,,-2349.187955631993,-66617.0986309543,,-2349.187955631993
2025-08-29 23:15:00,-56464.57249843978,,-1781.6498490404797,-56464.57249843978,,-1781.6498490404797
2025-08-29 23:30:00,-68443.86520268438,,-1747.1952558126277,-68443.86520268438,,-1747.1952558126277
2025-08-29 23:45:00,-73023.31912295481,,-2205.5872041278867,-73023.31912295481,,-2205.5872041278867
2025-08-30 00:00:00,-67820.98059538273,,-1928.3052763478493,-67820.98059538273,,-1928.3052763478493
2025-08-30 00:15:00,-69335.90974369903,,-1465.7794266991125,-69335.90974369903,,-1465.7794266991125
2025-08-30 00:30:00,-53536.5497825333,,-1363.220165532595,-53536.5497825333,,-1363.220165532595
2025-08-30 00:45:00,-48512.77929881463,,-2003.615555531548,-48512.77929881463,,-2003.615555531548
2025-08-30 01:00:00,-45899.04303495983,,-1225.5554996079672,-45899.04303495983,,-1225.5554996079672
2025-08-30 01:15:00,-99100.84043668248,,-1742.2211307717894,-99100.84043668248,,-1742.2211307717894
2025-08-30 01:30:00,-73673.76017522054,,-2134.1096212655843,-73673.76017522054,,-2134.1096212655843
2025-08-30 01:45:00,-47675.74295497192,,-1489.8047960184535,-47675.74295497192,,-1489.8047960184535
2025-08-30 02:00:00,-51742.429408038224,,-1416.530332014975,-51742.429408038224,,-1416.530332014975
2025-08-30 02:15:00,-86608.51789740818,,-100126.84325262671,-86608.51789740818,,-100126.84325262671
